tweetid,text,date,username,userid
2.76E+17,@newsbreak_ph: TOP STORY: Fears of more deaths after 'Pablo' http://t.co/Qs8LHoyt #PabloPH #Bopha,Wed Dec 05 00:59:42 CET 2012,Earl1901,79995671
2.76E+17,@primyck: This is a place where hollowblocks are made in Brgy Canitoan CDO. http://t.co/veVzX2QF #PabloPH,Wed Dec 05 00:59:56 CET 2012,ABSCBNNews,15872418
2.76E+17,@primyck: A house toppled by #PabloPH 's flood in Brgy Canitoan CDO. http://t.co/XAfFhi2k,Wed Dec 05 01:00:08 CET 2012,ABSCBNNews,15872418
2.76E+17,@primyck: More crops flattened by last night's flood in CDO. http://t.co/3VboIU6F #PabloPH,Wed Dec 05 01:00:20 CET 2012,ABSCBNNews,15872418
2.76E+17,NDRRMC: 15 patay 120627 indibidwal apektado ng hagupit ni #PabloPH (as of Dec. 5 6:00AM report)... http://t.co/sJuY6jbY,Wed Dec 05 01:02:01 CET 2012,DZMMTeleRadyo,92174767
2.76E+17,44 dead in Compostela Valley town http://t.co/hQ6qC3YU New Bataan municipality hard hit by #PabloPH #Bopha,Wed Dec 05 01:02:50 CET 2012,rapplerdotcom,330826792
2.76E+17,Coming up: The latest on Typhoon #Bopha India suspended from the International Olympics Committee & more http://t.co/Wu7nhWH6 #raonair,Wed Dec 05 01:03:00 CET 2012,RAConnectAsia,126150802
2.76E+17,#Bopha looks intense! http://t.co/q0e7MjP3 @wunderground @NASA,Wed Dec 05 01:03:31 CET 2012,B_E_Boster,512521740
2.76E+17," ""@gmanews: 43 patay 9 nawawala sa flash flood sa ComVal �_�_̨ heneral #PabloPH http://t.co/r2kTCCkB""SAD !",Wed Dec 05 01:03:43 CET 2012,robertcruz0220,988251624
2.76E+17," NewsBreaK: Weather Update December 52012 SEVERE WEATHER BULLETIN #11 TROPICAL CYCLONE WARNING: TYPHOON ""#PabloPH�_�_��_ (BOPHA) ISSUED AT...",Wed Dec 05 01:08:31 CET 2012,loveniricoromeo,347752449
2.76E+17,PHOTO:  A house toppled by Pablo's flood in Brgy Canitoan CDO. http://t.co/iN49TODG #PabloPH,Wed Dec 05 01:08:41 CET 2012,PinoyWeather,710253006
2.76E+17,PHOTO:  The streets in many areas in CDO look like this today. http://t.co/H7Vn5hIQ #PabloPH,Wed Dec 05 01:09:10 CET 2012,PinoyWeather,710253006
2.76E+17,PHOTO:  Shoveling mud from their home in Brgy Canitoan. http://t.co/9j7jWKUH #PabloPH,Wed Dec 05 01:09:31 CET 2012,PinoyWeather,710253006
2.76E+17,rainfall contour (real-time) from project noah. maulan sa northern palawan pero sa city proper ambon lang. #PabloPH http://t.co/xcuP32T7,Wed Dec 05 01:10:15 CET 2012,jmoscillada,136277630
2.76E+17,UPDATES:  Rainfall amount in the Philippines the past hour. http://t.co/w4bZQIui #PabloPH,Wed Dec 05 01:10:27 CET 2012,PinoyWeather,710253006
2.76E+17,At 07:00AM 5/DEC/2012 the eye of Typhoon #PabloPH was located @110km Northeast of Puerto Princesa City (10.3��́N... http://t.co/RD1BDB5g,Wed Dec 05 01:12:27 CET 2012,TaytayPIO,841222320
2.76E+17,#PabloPH Fears of more deaths after 'Pablo' http://t.co/NtemigjE via @rapplerdotcom,Wed Dec 05 01:13:24 CET 2012,ayeemacaraig,11491782
2.76E+17,Current location of typhoon #PabloPH. Ingat mga taga-Palawan http://t.co/p0oprFQL,Wed Dec 05 01:13:28 CET 2012,simply_chiqui,712730544
